id,Name,Category,TruckID,Length,Breadth,Height,Volume,Weight,Price,Display_name
64,14 Feet,OPEN,64,14,6,6,504,4000,3.5,14 Feet  4000
65,17 Feet,OPEN,65,17,6,7,672,6000,4,17 Feet  6000
66,18 Feet Taurus,OPEN,66,18,7,7,882,8000,6,18 Feet Taurus  8000
67,19 Feet Taurus,OPEN,67,19,7,7,931,9000,10,19 Feet Taurus  9000
68,10 TYRE,OPEN,68,22,7.5,8,1320,14000,11,10 TYRE  14000
69,10 TYRE,OPEN,69,22,7.5,8,1320,15000,12,10 TYRE  15000
70,10 TYRE,OPEN,70,22,7.5,8,1320,16000,12.5,10 TYRE  16000
71,12 TYRE,OPEN,71,22,7.5,8,1320,20000,15,12 TYRE  20000
72,12 TYRE,OPEN,72,22,7.5,8,1320,21000,16.2,12 TYRE  21000
73,12 TYRE,OPEN,73,22,7.5,8,1320,22000,16.4,12 TYRE  22000
74,14 TYRE,OPEN,74,22,7.5,8,1320,24000,16.6,14 TYRE  24000
75,14 TYRE,OPEN,75,22,7.5,8,1320,25000,16.7,14 TYRE  25000
76,14 TYRE,OPEN,76,22,7.5,8,1320,26000,16.8,14 TYRE  26000
77,Tempo 407,CONTAINER,77,9.5,5.5,5.5,287.375,1500,1,Tempo 407  1500
78,Tempo 407,CONTAINER,78,9.5,5.5,5.5,287.375,2000,1.5,Tempo 407  2000
79,Tempo 407,CONTAINER,79,9.5,5.5,5.5,287.375,2500,2,Tempo 407  2500
80,13 Feet,CONTAINER,80,13,5.5,7,500.5,3500,3,13 Feet  3500
81,14 Feet,CONTAINER,81,14,6,6,504,4000,3.5,14 Feet  4000
82,17 Feet,CONTAINER,82,17,6,7,672,6000,4,17 Feet  6000
83,20 ft sxl,CONTAINER,83,20,8,8,1280,6000,5,20 ft sxl  6000
84,20 ft sxl,CONTAINER,84,20,8,8,1280,6500,5.3,20 ft sxl  6500
85,20 ft sxl,CONTAINER,85,20,8,8,1280,7000,5.6,20 ft sxl  7000
86,24 ft sxl,CONTAINER,86,24,8,8,1536,6000,7,24 ft sxl  6000
87,24 ft sxl,CONTAINER,87,24,8,8,1536,6500,7.3,24 ft sxl  6500
88,24 ft sxl,CONTAINER,88,24,8,8,1536,7000,7.9,24 ft sxl  7000
89,24 ft mxl,CONTAINER,89,24,8,8,1536,14000,13,24 ft mxl  14000
90,24 ft mxl,CONTAINER,90,24,8,8,1536,14500,13.6,24 ft mxl  14500
91,24 ft mxl,CONTAINER,91,24,8,8,1536,15000,13.9,24 ft mxl  15000
92,32 ft sxl,CONTAINER,92,32,8,8,2048,6000,8,32 ft sxl  6000
93,32 ft sxl,CONTAINER,93,32,8,8,2048,6500,8.5,32 ft sxl  6500
94,32 ft sxl,CONTAINER,94,32,8,8,2048,7000,8.75,32 ft sxl  7000
95,32 ft sxl HQ,CONTAINER,95,32,9,10,2880,6000,9,32 ft sxl HQ  6000
96,32 ft sxl HQ,CONTAINER,96,32,9,10,2880,6500,9.5,32 ft sxl HQ  6500
97,32 ft sxl HQ,CONTAINER,97,32,9,10,2880,7000,9.75,32 ft sxl HQ  7000
98,32 ft mxl,CONTAINER,98,32,8,8,2048,14000,14,32 ft mxl  14000
99,32 ft mxl,CONTAINER,99,32,8,8,2048,14500,14.1,32 ft mxl  14500
100,32 ft mxl,CONTAINER,100,32,8,8,2048,15000,14.25,32 ft mxl  15000
101,32 ft mxl HQ,CONTAINER,101,32,9,10,2880,14000,14.5,32 ft mxl HQ  14000
102,32 ft mxl HQ,CONTAINER,102,32,9,10,2880,14500,14.75,32 ft mxl HQ  14500
103,32 ft mxl HQ,CONTAINER,103,32,9,10,2880,15000,14.9,32 ft mxl HQ  15000
104,32 Ft txl,CONTAINER,104,32,8,8,2048,20000,17.1,32 Ft txl  20000
105,32 Ft txl,CONTAINER,105,32,8,8,2048,20500,17.2,32 Ft txl  20500
106,32 Ft txl,CONTAINER,106,32,8,8,2048,21000,17.3,32 Ft txl  21000
107,32 Ft txl HQ,CONTAINER,107,32,9,10,2880,20000,17.5,32 Ft txl HQ  20000
108,32 Ft txl HQ,CONTAINER,108,32,9,10,2880,20500,17.8,32 Ft txl HQ  20500
109,32 Ft txl HQ,CONTAINER,109,32,9,10,2880,21000,17.9,32 Ft txl HQ  21000
110,Low bed,TRAILER,110,42,8,8.5,2856,23000,17.95,Low bed  23000
111,Low bed,TRAILER,111,42,8,8.5,2856,28000,18,Low bed  28000
112,Low bed,TRAILER,112,42,8,8.5,2856,35000,19,Low bed  35000
113,Semi bed,TRAILER,113,42,8,8.5,2856,23000,20,Semi bed  23000
114,Semi bed,TRAILER,114,42,8,8.5,2856,28000,21,Semi bed  28000
115,Semi bed,TRAILER,115,42,8,8.5,2856,35000,22,Semi bed  35000
116,High bed,TRAILER,116,42,8,8.5,2856,23000,23,High bed  23000
117,High bed,TRAILER,117,42,8,8.5,2856,28000,24,High bed  28000
118,High bed,TRAILER,118,42,8,8.5,2856,35000,25,High bed  35000
119,Tempo 407,OPEN,119,9.5,5.5,5.5,287.375,1500,1,Tempo 407  1500
120,Tempo 407,OPEN,120,9.5,5.5,5.5,287.375,2000,1.5,Tempo 407  2000
121,Tempo 407,OPEN,121,9.5,5.5,5.5,287.375,2500,2,Tempo 407  2500
122,13 Feet,OPEN,122,13,5.5,7,500.5,3500,3,13 Feet  3500
123,14 Feet,OPEN,123,14,6,6,504,4000,3.5,14 Feet  4000
124,17 Feet,OPEN,124,17,6,7,672,6000,4,17 Feet  6000
125,18 Feet Taurus,OPEN,125,18,7,7,882,8000,6,18 Feet Taurus  8000
126,19 Feet Taurus,OPEN,126,19,7,7,931,9000,10,19 Feet Taurus  9000
127,10 TYRE,OPEN,127,22,7.5,8,1320,14000,11,10 TYRE  14000
128,10 TYRE,OPEN,128,22,7.5,8,1320,15000,12,10 TYRE  15000
129,10 TYRE,OPEN,129,22,7.5,8,1320,16000,12.5,10 TYRE  16000
130,12 TYRE,OPEN,130,22,7.5,8,1320,20000,15,12 TYRE  20000
131,12 TYRE,OPEN,131,22,7.5,8,1320,21000,16.2,12 TYRE  21000
132,12 TYRE,OPEN,132,22,7.5,8,1320,22000,16.4,12 TYRE  22000
133,14 TYRE,OPEN,133,22,7.5,8,1320,24000,16.6,14 TYRE  24000
134,14 TYRE,OPEN,134,22,7.5,8,1320,25000,16.7,14 TYRE  25000
135,14 TYRE,OPEN,135,22,7.5,8,1320,26000,16.8,14 TYRE  26000
136,Tempo 407,CONTAINER,136,9.5,5.5,5.5,287.375,1500,1,Tempo 407  1500
137,Tempo 407,CONTAINER,137,9.5,5.5,5.5,287.375,2000,1.5,Tempo 407  2000
138,Tempo 407,CONTAINER,138,9.5,5.5,5.5,287.375,2500,2,Tempo 407  2500
139,13 Feet,CONTAINER,139,13,5.5,7,500.5,3500,3,13 Feet  3500
140,14 Feet,CONTAINER,140,14,6,6,504,4000,3.5,14 Feet  4000
141,17 Feet,CONTAINER,141,17,6,7,672,6000,4,17 Feet  6000
142,20 ft sxl,CONTAINER,142,20,8,8,1280,6000,5,20 ft sxl  6000
143,20 ft sxl,CONTAINER,143,20,8,8,1280,6500,5.3,20 ft sxl  6500
144,20 ft sxl,CONTAINER,144,20,8,8,1280,7000,5.6,20 ft sxl  7000
145,24 ft sxl,CONTAINER,145,24,8,8,1536,6000,7,24 ft sxl  6000
146,24 ft sxl,CONTAINER,146,24,8,8,1536,6500,7.3,24 ft sxl  6500
147,24 ft sxl,CONTAINER,147,24,8,8,1536,7000,7.9,24 ft sxl  7000
148,24 ft mxl,CONTAINER,148,24,8,8,1536,14000,13,24 ft mxl  14000
149,24 ft mxl,CONTAINER,149,24,8,8,1536,14500,13.6,24 ft mxl  14500
150,24 ft mxl,CONTAINER,150,24,8,8,1536,15000,13.9,24 ft mxl  15000
151,32 ft sxl,CONTAINER,151,32,8,8,2048,6000,8,32 ft sxl  6000
152,32 ft sxl,CONTAINER,152,32,8,8,2048,6500,8.5,32 ft sxl  6500
153,32 ft sxl,CONTAINER,153,32,8,8,2048,7000,8.75,32 ft sxl  7000
