id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-424526,2019-04-02,000001,Vente,207000,7,,SQ DE CHENONCEAUX,0204,95380,95351,Louvres,95,,,95351000AD0316,,,247,77.8,,,,,,,,,1,1,Maison,77,4,,,,,,2.49806,49.044225
2019-424527,2019-03-20,000001,Vente,174000,9002,,RUE DU GENERAL DELANNE,0348,95330,95199,Domont,95,,,95199000AV0195,,,663,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.325234,49.022719
2019-424527,2019-03-20,000001,Vente,174000,1,,ALL DES ERABLES,0279,95330,95199,Domont,95,,,95199000AV0195,,,456,65.49,472,,,,,,,,2,2,Appartement,63,4,,,,,,2.325234,49.022719
2019-424528,2019-03-28,000001,Vente,1,2,,ALL DE LA FONTAINE AU ROY,0076,95270,95566,Saint-Martin-du-Tertre,95,,,955660000B1907,,,,,,,,,,,,,0,,,,,S,sols,,,2118,2.340979,49.106757
2019-424528,2019-03-28,000001,Vente,1,,,LE VILLAGE,B041,95270,95566,Saint-Martin-du-Tertre,95,,,955660000B1909,,,,,,,,,,,,,0,,,,,S,sols,,,332,2.337068,49.104918
2019-424528,2019-03-28,000001,Vente,1,1,,ALL DE LA FONTAINE AU ROY,0076,95270,95566,Saint-Martin-du-Tertre,95,,,955660000C0305,,,,,,,,,,,,,0,,,,,S,sols,,,92,2.336807,49.104765
2019-424529,2019-03-20,000001,Vente,239000,16,,RUE DE LA FERME,0190,95460,95229,Ézanville,95,,,95229000AI0578,,,112,96.29,140,,,,,,,,2,2,Appartement,96,5,,,,,,2.359062,49.031482
2019-424530,2019-04-10,000002,Vente,228000,12,,RUE DE LUZARCHES,0180,95270,95594,Seugy,95,,,955940000B1506,,,,,,,,,,,,,0,,,,,S,sols,,,200,2.396091,49.121477
2019-424531,2019-04-02,000001,Vente,98000,5,,RUE DE LA MAIRIE,0202,95470,95641,Vémars,95,,,95641000AB0093,,,45,24.03,,,,,,,,,1,2,Appartement,23,1,,,,,,2.566751,49.069907
2019-424532,2019-03-27,000001,Vente,178000,21,,RUE DU DOCTEUR PAUL BRUEL,0130,95380,95351,Louvres,95,,,95351000AI0360,,,346,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.5052,49.042369
2019-424532,2019-03-27,000001,Vente,178000,21,,RUE DU DOCTEUR PAUL BRUEL,0130,95380,95351,Louvres,95,,,95351000AI0360,,,104,,,,,,,,,,1,2,Appartement,63,3,,,,,,2.5052,49.042369
2019-424532,2019-03-27,000001,Vente,178000,21,,RUE DU DOCTEUR PAUL BRUEL,0130,95380,95351,Louvres,95,,,95351000AI0360,,,347,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.5052,49.042369
2019-424533,2019-03-25,000002,Vente,345000,29,,RUE DE VERDUN,0820,95270,95149,Chaumontel,95,,,95149000AE0045,,,,,,,,,,,,,0,1,Maison,99,5,J,jardins,POTAG,Jardin potager,471,2.429956,49.121516
2019-424533,2019-03-25,000002,Vente,345000,29,,RUE DE VERDUN,0820,95270,95149,Chaumontel,95,,,95149000AE0045,,,,,,,,,,,,,0,1,Maison,99,5,S,sols,,,500,2.429956,49.121516
2019-424533,2019-03-25,000002,Vente,345000,27,,RUE DE VERDUN,0820,95270,95149,Chaumontel,95,,,95149000AE0361,,,,,,,,,,,,,0,1,Maison,90,3,,,,,,2.430056,49.121438
2019-424534,2019-03-29,000002,Vente,300000,4,,BD CARNOT,0090,95400,95680,Villiers-le-Bel,95,,,95680000AV0792,,,,,,,,,,,,,0,1,Maison,100,3,S,sols,,,372,2.386056,49.003715
2019-424535,2019-03-29,000001,Vente,328000,6,,RUE CALMETTE,0110,95140,95268,Garges-lès-Gonesse,95,,,95268000BC0173,,,,,,,,,,,,,0,1,Maison,24,2,S,sols,,,531,2.409428,48.971387
2019-424535,2019-03-29,000001,Vente,328000,6,,RUE CALMETTE,0110,95140,95268,Garges-lès-Gonesse,95,,,95268000BC0173,,,,,,,,,,,,,0,1,Maison,138,6,S,sols,,,531,2.409428,48.971387
2019-424536,2019-03-22,000001,Vente,220000,15,,AV BEAUSEJOUR,0020,95380,95351,Louvres,95,,,95351000AH0280,,,,,,,,,,,,,0,1,Maison,140,8,S,sols,,,396,2.509519,49.047523
2019-424537,2019-04-05,000001,Vente,116947,19,,RUE DE BELLEVUE,0345,95200,95585,Sarcelles,95,,,95585000AB0426,,,,,,,,,,,,,0,1,Maison,115,5,S,sols,,,381,2.381763,48.989415
2019-424538,2019-03-28,000001,Vente,251000,29,,AV PIERRE CURIE,0760,95400,95680,Villiers-le-Bel,95,,,95680000AN0318,,,,,,,,,,,,,0,1,Maison,79,4,S,sols,,,574,2.408505,48.997474
2019-424539,2019-03-19,000001,Vente,330000,25,,RUE DE LA GARE,0110,95570,95660,Villaines-sous-Bois,95,,,956600000A0116,,,,,,,,,,,,,0,1,Maison,111,3,S,sols,,,47,2.353576,49.078001
2019-424539,2019-03-19,000001,Vente,330000,25,,CHE MERIEL A MOUSSY LE NEUF,0140,95570,95660,Villaines-sous-Bois,95,,,956600000A0265,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,884,2.353518,49.077949
2019-424540,2019-03-28,000001,Vente,295000,7,,RUE DES PECHEURS,0520,95140,95268,Garges-lès-Gonesse,95,,,95268000AX0125,,,,,,,,,,,,,0,1,Maison,117,5,S,sols,,,412,2.412122,48.964728
2019-424541,2019-03-20,000001,Vente,73600,27,,RUE DES ACACIAS,0008,95140,95268,Garges-lès-Gonesse,95,,,95268000BA0037,,,1578,31.35,1721,,,,,,,,2,2,Appartement,30,1,,,,,,2.402855,48.972206
2019-424542,2019-04-02,000001,Vente,149000,6,,RUE MADAME VEUVE COUSIN,0470,95330,95199,Domont,95,,,95199000AV0099,,,13,,5,41.4,9,,,,,,3,2,Appartement,44,3,,,,,,2.325585,49.025826
2019-424543,2019-04-01,000001,Vente,435000,38,,RUE DE BREST,0250,95400,95019,Arnouville,95,,,95019000AL0232,,,,,,,,,,,,,0,1,Maison,164,6,S,sols,,,460,2.41305,48.990334
2019-424544,2019-03-23,000001,Vente en l'état futur d'achèvement,174800,,,LA CROIX L ALOUETTE,B015,95270,95149,Chaumontel,95,,,95149000AH0065,,,159,,,,,,,,,,1,,,,,,,,,,2.427587,49.120308
2019-424544,2019-03-23,000001,Vente en l'état futur d'achèvement,174800,,,LA CROIX L ALOUETTE,B015,95270,95149,Chaumontel,95,,,95149000AH0065,,,75,,,,,,,,,,1,,,,,,,,,,2.427587,49.120308
2019-424545,2019-04-03,000001,Vente,375000,7,,ALL DE L ORTIE BLANCHE,0273,95570,95091,Bouffémont,95,,,95091000AH0112,,,,,,,,,,,,,0,1,Maison,125,5,S,sols,,,364,2.307548,49.044222
